cidade;url;cnpj-selector;login-selector;senha_seletor
ABRE CAMPO/MG;https://mg-abrecampo-pm-nfs.cloud.el.com.br//paginas/sistema/login.jsf;;j_idt57;j_idt61
ALFENAS/MG;https://e-gov.betha.com.br/e-nota/login.faces;;login:iUsuarios;login:senha
ALFREDO VASCONCELOS;https://alfredovasconcelos.nfiss.com.br/;;login;senha
ALTEROSA/MG;https://e-gov.betha.com.br/e-nota/login.faces;;login:iUsuarios;login:senha
BELO HORIZONTE/MG;https://bhissdigital.pbh.gov.br/nfse/pages/security/login.jsf;;username;password
BOA ESPERANÇA/MG;https://e-gov.betha.com.br/e-nota/login.faces;;login:iUsuarios;login:senha
BOM REPOUSO/MG;"http://nfe.sgpcloud.net:9031/issweb/paginas/login;jsessionid=yaT2dDB5ax5pB+-TFuatzEZT.undefined";;username;password
BUENO BRANDAO/MG;https://nfe.sgpcloud.net:9069/issweb/paginas/login;;j_idt104;password
CAARATINGA;https://caratinga.govbr.cloud/nfse.portal/;;Usuario;Senha
CAJURI/MG;https://cajurimg.nfse-futurize.com.br/canalprestador.php;;usu_login;usu_senha
CARATINGA/MG;https://caratinga.govbr.cloud/nfse.portal/;;Usuario;Senha
CARMÓPOLIS DE MINAS/MG;https://nfse-carmopolisdeminas.atende.net/autoatendimento/servicos/acesso-ao-sistema-fiscal-web-novo/detalhar/1;;login;senha
COIMBRA/MG;https://coimbramg.nfse-futurize.com.br/canalprestador.php;;usu_login;usu_senha
COLATINA/ES;https://es-colatina-pm-nfs.cloud.el.com.br//paginas/sistema/login.jsf;;j_idt57;j_idt61
ESTIVA/MG;https://nfe.sgpcloud.net:9063/issweb/paginas/login;;username;password
FRANCA/SP;https://franca.siltecnologia.com.br/loginCNPJContribuinte.jsp?execobj=ContribuintesWebRelacionados;;usuario;senha
IPANEMA/MG;https://nfsebrasil.net.br/nfse/index.php?cl=3131208;;EDT_cpf;EDT_senha
ITARANA/ES;https://es-itarana-pm-nfs.cloud.el.com.br/#/login;;usuario;senha
JAGUARÉ/ES;https://es-jaguare-pm-nfs.cloud.el.com.br/;;usuario;senha
LAMBARI/MG;https://nfe.sgpcloud.net:9075/issweb/paginas/login;;username;password
LARANJA DA TERRA/ES;https://es-laranjadaterra-pm-nfs.cloud.el.com.br/#/login;;usuario;senha
MACHADO/MG;https://www.ereceita.net.br/inicial.php?time742155=742155173687620420250114143644742228&urlInicial=U0vOyUzNK0m1zU1MzkhMyQcA&session=19103121424310468nfse1736876199s082507300;;acesso[login];acesso[senha]
MANHUAÇU/MG;https://mg-manhuacu-pm-nfs.cloud.el.com.br/index.html?e=expire;;j_idt57;j_idt61
MONTANHA/ES;https://es-montanha-pm-nfs.cloud.el.com.br//paginas/sistema/login.jsf#/;;usuario;senha
ORIZANIA/MG;https://orizaniamg.nfse-futurize.com.br/canalprestador.php;;usu_login;usu_senha
PANCAS/ES;https://es-pancas-pm-nfs.cloud.el.com.br/#/login;;usuario;senha
PARA DE MINAS;https://parademinas.mg.issqn.quasar.srv.br/issqn/login.xhtml;;formPrincipal:login;formPrincipal:senha
PARA DE MINAS/MG;https://parademinas.mg.issqn.quasar.srv.br/issqn/login.xhtml;;formPrincipal:login;formPrincipal:senha
